lookup_id,vendor,canonical_product_family,template_option,product_type,cell_type,density_class,application_hint,lookup_priority,lookup_terms,preferred_documents,document_priority,official_vendor_url,vendor_product_url,source_domain,domain_approved,decision_nodes,mapping_status,alias_policy,search_strategy,document_collection_status,knowledge_status,replacement_for,priority,active,notes
gaco_gacoonepass,Gaco,GacoOnePass,Gaco 2.0 lb,,closed_cell,2.0 lb,wall/building insulation,high,GacoOnePass 2 lb closed cell spray foam PDS application guide SDS,PDS; application guide; installation guide; SDS,,https://gaco.com/,,gaco.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Likely better wall-foam match than GacoRoofFoam for insulation template.
gaco_f2733_rhfo,Gaco,GacoRoofFoam F2733 RHFO,Gaco Roof 2.7,foam,,,Roofing SPF,HIGH,GacoRoofFoam F2733 RHFO PDS;Gaco Roof 2.7 PDS;Gaco roofing foam application guide,PDS;Application Guide;Installation Guide;SDS,PDS>Application Guide>Installation Guide>SDS,https://gaco.com/product/gacorooffoam-series/,https://gaco.com/product/gacorooffoam-series/,gaco.com,True,"[""roofing_foam""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
gaco_gacowallfoam_183m,Gaco,GacoWallFoam 183M,Gaco 2.0 lb,,closed_cell,2.0 lb,wall/building insulation,high,GacoWallFoam 183M product data sheet closed cell spray foam,PDS; application guide; SDS,,https://gaco.com/,,gaco.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Legacy/current wall foam option mentioned in lookup.
ift_dc315,International Fireproof Technology,DC315,DC315 TB,thermal_barrier,,,Thermal Barrier,HIGH,DC315 intumescent coating PDS;DC315 spray foam thermal barrier application guide,PDS;Application Guide;Code Report;SDS,PDS>Code Report>Application Guide>SDS,https://www.painttoprotect.com/,https://www.painttoprotect.com/,www.painttoprotect.com,False,"[""insulation_thermal_barrier""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
ncfi_insulbloc_optimaxx,NCFI,InsulBloc OptiMaxx,NCFI 2.0 lb,,closed_cell,2.0 lb,wall/building insulation,high,NCFI InsulBloc OptiMaxx PDS closed cell spray foam,PDS; application guide; SDS,,https://www.ncfi.com/,,www.ncfi.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Likely current NCFI closed-cell equivalent.
ncfi_optimaxx,NCFI,InsulBloc OptiMaxx,NCFI 2.0 lb,foam,,,Closed Cell SPF,HIGH,InsulBloc OptiMaxx PDS;NCFI InsulBloc OptiMaxx application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,https://ncfi.com/,https://ncfi.com/,ncfi.com,True,"[""insulation_foam""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
ncfi_insulstarlight,NCFI,InsulStarLight,NCFI 0.5 lb,,open_cell,0.5 lb,wall/building insulation,high,NCFI InsulStarLight PDS open cell spray foam,PDS; application guide; SDS,,https://www.ncfi.com/,,www.ncfi.com,True,"[""insulation_foam_system""]",,,,,,,20,True,Likely current NCFI open-cell equivalent.
noburn_thb,No-Burn,NoBurn TH-B+,NoBurn TB,thermal_barrier,,,Thermal Barrier,HIGH,NoBurn TH-B+ PDS;NoBurn TH-B+ application guide,PDS;Application Guide;SDS;Evaluation Report,PDS>Evaluation Report>Application Guide>SDS,https://noburn.com/,https://noburn.com/,noburn.com,False,"[""insulation_thermal_barrier""]",approved,auto_alias_after_doc_ingest,exact_product,pending,not_started,,20,True,Legacy template label
generic_sf2000,Unknown,SF2000,Silicone Sausage,sealant,,,Sealant,HIGH,SF2000 silicone sealant PDS;SF2000 silicone sausage SDS,PDS;SDS,PDS>SDS,,,,False,"[""roofing_sealant""]",needs_review,manual_alias_only,exact_product,pending,not_started,,20,True,Vendor confirmation required
generic_sf4200,Unknown,SF4200,Silicone Sausage,sealant,,,Sealant,HIGH,SF4200 silicone sealant PDS;SF4200 silicone sausage SDS,PDS;SDS,PDS>SDS,,,,False,"[""roofing_sealant""]",needs_review,manual_alias_only,exact_product,pending,not_started,,20,True,Vendor confirmation required
3m_lr9300_granules,3M,LR9300 Granules,,,,,,,3M LR9300 granules product data sheet,,,https://www.3m.com/,,www.3m.com,True,"[""roofing_granules""]",,,,,,,50,True,
accufoam_3_lb_roofing_foam,AccuFoam,3 lb Roofing Foam,,,,,,,AccuFoam 3 lb Roofing Foam PDS,,,https://www.accufoam.com/,,www.accufoam.com,True,"[""insulation_foam_system"", ""roofing_coating_system""]",,,,,,,50,True,
accufoam_closed_cell_2_0_hfc,AccuFoam,Closed Cell 2.0 HFC,,,,,,,AccuFoam Closed Cell 2.0 HFC PDS,,,https://www.accufoam.com/,,www.accufoam.com,True,"[""insulation_foam_system""]",,,,,,,50,True,
accufoam_open_cell_aaf1,AccuFoam,Open Cell AAF1,,,,,,,AccuFoam Open Cell AAF1 PDS,,,https://www.accufoam.com/,,www.accufoam.com,True,"[""insulation_foam_system""]",,,,,,,50,True,
aldo_aldo_399,Aldo,Aldo 399,,,,,,,Aldo 399 sealant coating PDS,,,https://www.aldo-coatings.com/,,www.aldo-coatings.com,True,"[""roofing_seam_treatment"", ""roofing_caulk_detail"", ""insulation_caulk_sealant""]",,,,,,,50,True,
enverge_easyseal,Enverge,EasySeal,,,,,,,Enverge EasySeal open cell PDS,,,https://www.envergesprayfoam.com/,,www.envergesprayfoam.com,True,"[""insulation_foam_system""]",,,,,,,50,True,
enverge_nexseal,Enverge,NexSeal,,,,,,,Enverge NexSeal closed cell PDS,,,https://www.envergesprayfoam.com/,,www.envergesprayfoam.com,True,"[""insulation_foam_system""]",,,,,,,50,True,
gaf_bleed_block_asphalt_primer,GAF,Bleed Block Asphalt Primer,,,,,,,GAF Bleed Block Asphalt Primer PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaf_epoxy_primer,GAF,Epoxy Primer,,,,,,,GAF Epoxy Primer PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaf_fibered_silicone_sealant,GAF,Fibered Silicone Sealant,,,,,,,GAF Fibered Silicone Sealant PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system"", ""roofing_seam_treatment"", ""roofing_caulk_detail"", ""insulation_caulk_sealant""]",,,,,,,50,True,
gaf_high_solids_silicone,GAF,High Solids Silicone,,,,,,,GAF High Solids Silicone PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaf_hydrostop_base_coat,GAF,HydroStop Base Coat,,,,,,,GAF Premium Acrylic HydroStop Base Coat PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaf_hydrostop_top_coat,GAF,HydroStop Top Coat,,,,,,,GAF Premium Acrylic HydroStop Top Coat PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaf_metal_roof_primer,GAF,Metal Roof Primer,,,,,,,GAF Metal Roof Primer PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaf_mineral_shield_granules,GAF,Mineral Shield Granules,,,,,,,GAF Mineral Shield Granules PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_granules""]",,,,,,,50,True,
gaf_multi_purpose_primer,GAF,Multi-Purpose Primer,,,,,,,GAF Multi-Purpose Primer PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaf_premium_brush_grade_acrylic_flashing,GAF,Premium Brush Grade Acrylic Flashing,,,,,,,GAF Premium Brush Grade Acrylic Flashing PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system"", ""roofing_seam_treatment"", ""roofing_caulk_detail"", ""insulation_caulk_sealant""]",,,,,,,50,True,
gaf_premium_fabric,GAF,Premium Fabric,,,,,,,GAF Premium Fabric PDS roof coating fabric,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system"", ""roofing_fabric"", ""roofing_seam_treatment""]",,,,,,,50,True,
gaf_silicone_mastic,GAF,Silicone Mastic,,,,,,,GAF Silicone Mastic PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system"", ""roofing_seam_treatment"", ""roofing_caulk_detail"", ""insulation_caulk_sealant""]",,,,,,,50,True,
gaf_tpo_red_primer,GAF,TPO Red Primer,,,,,,,GAF TPO Red Primer PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaf_unibase_primer,GAF,UniBase Primer,,,,,,,GAF UniBase Primer PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaf_unisil,GAF,Unisil,,,,,,,GAF Unisil PDS,,,https://www.gaf.com/,,www.gaf.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_dc315,Gaco,DC315,,,,,,,DC315 thermal barrier coating PDS,,,https://gaco.com/,,gaco.com,True,"[""insulation_thermal_barrier""]",,,,,,,50,True,
gaco_gacoflashfoam_kit,Gaco,GacoFlashFoam Kit,,,,,,,GacoFlashFoam Kit PDS spray polyurethane foam,,,https://gaco.com/product/gacoflashfoam/,,gaco.com,True,"[""insulation_foam_system"", ""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoflex_a4271_bleedtrap_base_coat,Gaco,GacoFlex A4271 BleedTrap Base Coat,,,,,,,GacoFlex A4271 BleedTrap Base Coat PDS,,,https://gaco.com/product/gacoflex-a4271-bleedtrap-base-coat/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoflex_a4700_a47,Gaco,GacoFlex A4700 / A47,,,,,,,GacoFlex A47 A4700 Acrylic PDS,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoflex_a4800_a48,Gaco,GacoFlex A4800 / A48,,,,,,,GacoFlex A48 A4800 High Build Acrylic PDS,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoflex_e5320,Gaco,GacoFlex E5320,,,,,,,GacoFlex E5320 Epoxy Primer PDS,,,https://gaco.com/product/gacoflex-e5320/,,gaco.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaco_gacoflex_s20,Gaco,GacoFlex S20,,,,,,,GacoFlex S20 PDS silicone roof coating,,,https://gaco.com/product/gacoflex-s20/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoflex_s42,Gaco,GacoFlex S42,,,,,,,GacoFlex S42 PDS silicone roof coating,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoflex_u87_u8782_polyurea,Gaco,GacoFlex U87 / U8782 Polyurea,,,,,,,GacoFlex U87 U8782 Polyurea PDS,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_gacoprime,Gaco,GacoPrime,,,,,,,GacoPrime Low VOC Primer PDS,,,https://gaco.com/product/gacoprime/,,gaco.com,True,"[""roofing_primer"", ""insulation_primer""]",,,,,,,50,True,
gaco_gacorooffoam_f2733rhfo,Gaco,GacoRoofFoam F2733RHFO,,,,,,,GacoRoofFoam F2733RHFO PDS roof foam,,,https://gaco.com/product/gacorooffoam-series/,,gaco.com,True,"[""insulation_foam_system"", ""roofing_coating_system""]",,,,,,,50,True,
gaco_gacowash,Gaco,GacoWash,,,,,,,GacoWash cleaner PDS,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_no_burn_th_b,Gaco,No-Burn TH-B+,,,,,,,No-Burn TH-B+ thermal barrier PDS,,,https://gaco.com/,,gaco.com,True,"[""insulation_thermal_barrier""]",,,,,,,50,True,
gaco_u91_aromatic_urethane,Gaco,U91 Aromatic Urethane,,,,,,,Gaco U91 Aromatic Urethane PDS,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
gaco_u92_aliphatic_urethane,Gaco,U92 Aliphatic Urethane,,,,,,,Gaco U92 Aliphatic Urethane PDS,,,https://gaco.com/,,gaco.com,True,"[""roofing_coating_system""]",,,,,,,50,True,
generic_iso_board,Generic,ISO Board,ISO Board,board,,,Roof Insulation,MEDIUM,Polyiso roof insulation board PDS;polyiso roofing installation guide,Installation Guide;PDS;Submittal,Installation Guide>PDS>Submittal,,,,False,"[""roofing_insulation""]",discovery_only,never_alias_category_only,vendor_category,pending,not_started,,50,True,Assembly component
generic_fabric,Generic,Reinforcing Fabric,Fabric,fabric,,,Reinforcement,MEDIUM,Roof reinforcing fabric PDS;roof reinforcing fabric application guide,PDS;Application Guide,PDS>Application Guide,,,,False,"[""roofing_reinforcement""]",discovery_only,never_alias_category_only,vendor_category,pending,not_started,,50,True,Assembly component
generic_fasteners,Generic,Roof Fasteners,Fasteners,fastener,,,Attachment System,MEDIUM,Roof fastener catalog;roofing fastener installation guide,Catalog;Installation Guide,Catalog>Installation Guide,,,,False,"[""roofing_attachment""]",discovery_only,never_alias_category_only,vendor_category,pending,not_started,,50,True,Assembly component
generic_plates,Generic,Roof Plates,Plates,plate,,,Attachment System,MEDIUM,Roof plate catalog;roofing plate PDS,Catalog;PDS,Catalog>PDS,,,,False,"[""roofing_attachment""]",discovery_only,never_alias_category_only,vendor_category,pending,not_started,,50,True,Assembly component
ncfi_3_lb_roofing_foam,NCFI,3 lb Roofing Foam,,,,,,,NCFI 3 lb roofing foam PDS,,,https://www.ncfi.com/,,www.ncfi.com,True,"[""insulation_foam_system"", ""roofing_coating_system""]",,,,,,,50,True,
psi_psi_closed_cell_spf,PSI,PSI closed-cell SPF,PSI 2.0 lb,,closed_cell,2.0 lb,wall/building insulation,medium,PSI 2 lb closed cell spray foam PDS polyurethane systems insulation,PDS; application guide; SDS,,,,,False,"[""insulation_foam_system"", ""roofing_coating_system""]",,,,,,,50,True,Manufacturer/product family unclear. Needs manual review.
psi_psi_open_cell_spf,PSI,PSI open-cell SPF,PSI 0.5 lb,,open_cell,0.5 lb,wall/building insulation,medium,PSI 0.5 lb open cell spray foam PDS polyurethane systems insulation,PDS; application guide; SDS,,,,,False,"[""insulation_foam_system"", ""roofing_coating_system""]",,,,,,,50,True,Manufacturer/product family unclear. Needs manual review.
sesco_snow_white_granules,SESCO,Snow White Granules,,,,,,,SESCO Snow White roofing granules PDS,,,https://sescoproducts.com/,,sescoproducts.com,True,"[""roofing_granules""]",,,,,,,50,True,
generic_buttergrade,Unknown,Buttergrade Sealant,Buttergrade,sealant,,,Sealant,MEDIUM,Buttergrade sealant PDS;buttergrade roofing sealant SDS,PDS;SDS,PDS>SDS,,,,False,"[""roofing_detail""]",discovery_only,never_alias_category_only,generic_category,pending,not_started,,50,True,Generic template item
generic_liquid_flashing,Unknown,Liquid Flashing,Liquid Flashing,flashing,,,Flashing,MEDIUM,Liquid flashing roofing PDS;liquid flashing application guide,PDS;Application Guide;SDS,PDS>Application Guide>SDS,,,,False,"[""roofing_detail""]",discovery_only,never_alias_category_only,generic_category,pending,not_started,,50,True,Generic template item
generic_pointing_mastic,Unknown,Pointing Mastic,Pointing Mastic,sealant,,,Sealant,MEDIUM,Pointing mastic roofing PDS;pointing mastic roofing SDS,PDS;SDS,PDS>SDS,,,,False,"[""roofing_detail""]",discovery_only,never_alias_category_only,generic_category,pending,not_started,,50,True,Generic template item
generic_urethane_sausage,Unknown,Urethane Sausage,Urethane Sausage,sealant,,,Sealant,MEDIUM,Urethane sausage sealant PDS;urethane sausage SDS,PDS;SDS,PDS>SDS,,,,False,"[""roofing_detail""]",discovery_only,never_alias_category_only,generic_category,pending,not_started,,50,True,Generic template item
generic_urethane_tube,Unknown,Urethane Tube,Urethane Tube,sealant,,,Sealant,MEDIUM,Urethane tube sealant PDS;urethane tube SDS,PDS;SDS,PDS>SDS,,,,False,"[""roofing_detail""]",discovery_only,never_alias_category_only,generic_category,pending,not_started,,50,True,Generic template item
